,home/away,day/night,toss,batted first,win
225.0,3,3,3,3,1
226.0,3,2,3,3,0
227.0,3,3,3,2,0
228.0,3,2,3,3,1
229.0,3,2,2,2,0
230.0,3,2,2,2,1
231.0,3,2,2,2,0
232.0,3,2,2,2,0
233.0,3,3,2,2,1
234.0,3,2,2,2,0
235.0,3,3,3,2,0
236.0,3,3,2,3,0
237.0,2,2,3,3,0
238.0,2,3,3,3,1
239.0,2,3,3,3,1
240.0,2,3,2,2,0
241.0,2,3,3,3,0
242.0,2,3,3,3,0
243.0,2,3,2,2,0
244.0,3,2,3,3,0
245.0,3,2,3,3,1
246.0,2,3,2,2,1
247.0,2,2,3,3,0
248.0,2,3,2,3,1
249.0,2,2,2,2,1
250.0,2,2,3,2,0
251.0,3,2,3,3,1
252.0,3,2,2,2,0
253.0,3,2,2,2,0
254.0,3,2,2,2,1
255.0,2,2,3,3,1
256.0,3,2,2,2,1
257.0,2,3,2,2,0
258.0,2,2,3,2,0
259.0,2,2,3,3,1
260.0,3,3,3,2,1
261.0,3,2,2,3,0
262.0,3,2,3,3,1
263.0,2,3,3,2,1
264.0,2,3,2,3,1
265.0,2,2,3,3,0
266.0,3,3,2,3,0
267.0,2,3,2,3,1
268.0,2,2,3,3,1
269.0,3,3,2,2,0
270.0,3,3,2,2,0
271.0,3,3,3,3,0
272.0,3,3,2,2,0
273.0,2,2,2,2,0
274.0,2,3,3,2,0
275.0,2,3,3,3,0
276.0,2,2,3,3,1
277.0,2,2,3,3,1
278.0,3,3,3,3,0
279.0,3,3,2,2,1
280.0,3,3,3,2,0
281.0,2,3,2,2,1
282.0,2,3,2,2,1
283.0,2,3,2,3,0
284.0,2,3,2,2,1
285.0,2,3,3,2,0
286.0,3,2,3,3,0
287.0,3,2,3,3,0
288.0,3,3,3,3,1
289.0,3,2,3,3,1
290.0,3,2,3,3,1
291.0,3,2,3,3,0
292.0,2,3,2,3,0
293.0,2,2,3,2,1
294.0,2,2,2,3,0
295.0,2,2,3,2,1
296.0,3,3,2,3,0
297.0,3,3,3,2,1
298.0,3,3,3,2,1
299.0,2,2,2,3,1
300.0,2,2,3,3,1
301.0,2,2,2,2,0
302.0,2,2,3,3,0
303.0,3,3,2,3,1
304.0,3,2,3,3,1
305.0,2,3,2,2,0
306.0,2,2,3,3,1
307.0,2,2,2,2,0
308.0,2,2,3,3,1
309.0,2,2,2,2,0
310.0,3,3,3,2,0
311.0,2,3,2,3,1
312.0,2,3,2,2,1
313.0,2,3,2,2,1
314.0,3,3,3,2,1
315.0,3,3,3,2,1
316.0,3,3,3,2,1
317.0,2,3,3,2,0
318.0,2,3,3,2,1
319.0,2,3,3,2,1
320.0,2,3,2,3,1
321.0,2,3,2,3,1
322.0,3,3,2,3,1
323.0,3,3,3,2,0
324.0,3,3,3,2,1
325.0,2,3,3,3,1
326.0,3,3,2,3,0
327.0,2,3,2,3,1
328.0,2,3,3,2,1
329.0,2,3,3,3,0
330.0,2,3,2,2,0
331.0,2,3,3,2,1
332.0,2,3,3,2,1
333.0,2,3,2,3,1
334.0,2,3,3,2,1
335.0,2,3,2,3,0
336.0,3,3,2,2,1
337.0,3,3,3,2,1
338.0,2,3,2,3,0
339.0,3,3,3,3,1
340.0,2,2,3,3,0
341.0,2,3,3,2,1
342.0,2,3,3,3,0
343.0,3,2,3,2,1
344.0,3,2,2,3,1
345.0,2,3,2,3,1
346.0,2,3,2,3,1
347.0,3,3,2,3,1
348.0,3,2,2,2,0
349.0,3,2,3,3,0
350.0,3,2,3,2,0
351.0,3,2,2,2,0
352.0,3,3,2,2,1
353.0,3,3,3,2,1
354.0,3,2,3,3,1
355.0,3,3,2,3,1
356.0,2,3,3,3,1
357.0,2,2,3,2,1
358.0,2,3,2,2,1
359.0,2,3,3,2,1
360.0,2,2,2,3,0
361.0,2,3,3,2,1
362.0,2,3,2,2,1
363.0,2,3,3,2,0
364.0,2,3,2,2,1
365.0,2,3,3,2,1
366.0,3,3,3,2,0
367.0,3,3,2,3,0
368.0,3,2,2,2,1
369.0,3,3,3,2,1
370.0,3,2,2,2,1
371.0,3,2,3,2,0
372.0,2,3,2,3,1
373.0,2,2,3,3,0
374.0,2,2,2,2,1
375.0,2,2,2,2,1
376.0,3,2,2,3,0
377.0,3,2,2,2,1
378.0,3,2,2,3,0
379.0,3,3,3,2,1
380.0,3,3,2,3,0
381.0,2,2,2,2,1
382.0,3,2,2,2,1
383.0,3,2,2,2,0
384.0,3,2,3,2,1
385.0,3,2,2,3,1
386.0,3,3,3,2,1
387.0,3,3,3,2,0
388.0,3,3,2,3,1
389.0,3,3,3,2,1
390.0,3,2,2,3,0
391.0,2,2,2,3,1
392.0,2,2,2,2,1
393.0,2,2,2,2,1
394.0,2,2,3,3,1
395.0,2,2,2,2,1
396.0,3,2,3,3,1
397.0,3,2,2,2,1
398.0,3,3,2,3,0
399.0,3,3,2,3,1
400.0,3,3,2,2,0
401.0,3,3,2,3,1
402.0,2,3,2,2,0
403.0,2,3,3,3,0
404.0,2,3,3,3,0
405.0,2,3,3,2,0
406.0,2,3,2,3,0
407.0,3,3,3,3,0
408.0,3,3,3,2,0
409.0,2,3,2,2,0
410.0,2,3,3,2,0
411.0,2,3,3,3,1
412.0,2,3,3,3,0
413.0,2,3,3,2,0
414.0,2,3,2,3,0
415.0,2,3,3,2,0
416.0,2,3,2,3,0
417.0,3,3,2,3,1
418.0,3,3,3,3,0
419.0,3,3,3,3,0
420.0,3,3,2,3,1
421.0,2,3,3,2,0
422.0,2,3,3,3,0
423.0,3,3,2,3,1
424.0,3,3,3,2,1
425.0,3,3,3,3,1
426.0,3,3,3,3,0
427.0,3,2,2,2,1
428.0,3,3,3,3,0
429.0,2,3,2,2,0
430.0,2,2,2,3,1
431.0,2,3,2,2,0
432.0,2,3,3,3,1
433.0,2,3,3,2,1
434.0,2,3,3,2,0
435.0,2,2,2,3,1
436.0,2,3,2,3,1
437.0,2,3,2,2,1
438.0,2,3,3,3,1
439.0,2,2,2,2,1
440.0,3,2,3,2,0
441.0,3,2,3,3,0
442.0,3,3,2,2,0
443.0,3,3,2,3,0
444.0,3,3,3,2,1
445.0,3,3,2,2,0
446.0,3,3,2,3,1
447.0,3,3,3,2,1
448.0,3,3,3,2,1
449.0,3,3,3,2,0
450.0,2,3,3,3,0
451.0,2,3,2,3,0
452.0,2,3,3,3,1
453.0,2,2,3,2,1
454.0,2,3,2,3,0
455.0,2,3,3,2,1
456.0,2,3,3,2,0
457.0,3,2,2,2,1
458.0,3,2,3,3,1
459.0,3,2,3,2,0
460.0,3,2,3,3,1
461.0,2,2,2,3,0
462.0,2,3,2,3,1
463.0,2,2,3,3,1
464.0,2,2,2,3,0
465.0,2,3,2,3,1
466.0,3,2,3,2,1
467.0,2,2,3,3,1
468.0,2,2,3,2,1
469.0,2,2,3,2,1
470.0,2,2,3,2,0
471.0,2,2,3,3,1
472.0,2,2,3,3,1
473.0,3,3,3,2,1
474.0,2,2,2,2,1
475.0,2,2,2,2,0
476.0,2,3,3,2,1
477.0,2,2,3,2,0
478.0,2,2,3,3,1
479.0,2,2,2,3,1
480.0,3,2,2,2,1
481.0,3,3,3,2,1
482.0,3,3,3,3,1
483.0,2,3,2,2,1
484.0,2,3,3,2,1
485.0,3,3,3,3,1
486.0,2,3,2,3,1
487.0,2,3,3,2,1
488.0,2,3,3,2,1
489.0,2,3,2,3,1
490.0,3,3,3,2,1
491.0,3,2,3,3,0
492.0,3,3,3,2,1
493.0,2,3,2,3,1
494.0,2,3,2,3,1
495.0,3,2,3,2,1
496.0,3,2,3,2,0
497.0,3,2,3,2,1
498.0,3,3,3,2,0
499.0,3,3,2,3,1
500.0,3,3,2,3,1
501.0,3,2,2,2,1
502.0,3,2,3,2,1
503.0,2,3,2,2,1
504.0,2,3,3,3,1
505.0,2,3,3,3,0
506.0,2,3,2,2,1
507.0,2,3,2,3,1
508.0,2,3,3,3,0
509.0,2,2,3,3,1
510.0,2,3,3,3,0
511.0,2,2,2,2,1
512.0,2,3,3,3,1
513.0,3,2,3,3,1
514.0,3,3,2,2,1
515.0,3,2,3,3,1
516.0,3,2,3,3,1
517.0,3,2,2,2,1
518.0,3,2,3,2,1
519.0,3,2,3,3,1
520.0,3,2,2,3,0
521.0,3,2,3,3,0
522.0,3,2,3,3,0
523.0,3,3,2,2,0
524.0,3,2,3,2,0
525.0,3,3,3,3,1
526.0,3,3,3,2,1
527.0,3,3,3,2,1
528.0,3,2,3,3,0
529.0,3,3,2,2,1
530.0,3,3,2,2,0
531.0,3,3,3,2,0
532.0,3,2,2,2,1
533.0,3,3,2,2,0
534.0,3,2,2,3,0
535.0,3,3,3,2,1
536.0,3,2,3,2,0
537.0,3,3,3,3,0
538.0,3,3,3,3,1
539.0,3,3,3,3,0
540.0,3,3,3,3,0
541.0,3,3,2,3,0
542.0,3,2,2,2,0
543.0,3,2,2,2,0
544.0,3,2,3,2,0
545.0,3,2,3,2,1
546.0,3,3,2,3,1
547.0,3,2,3,2,1
548.0,3,2,3,3,0
549.0,3,2,2,2,0
550.0,3,2,2,2,0
551.0,3,3,2,2,1
552.0,3,2,2,3,1
553.0,3,3,3,2,0
554.0,3,3,3,3,0
555.0,3,3,3,2,0
556.0,3,2,2,2,0
557.0,3,3,2,3,0
558.0,3,2,2,2,0
559.0,3,3,3,3,0
560.0,3,2,3,3,1
561.0,3,3,3,3,0
562.0,3,3,3,2,0
563.0,3,2,2,2,0
564.0,3,3,2,3,1
565.0,3,3,2,3,0
566.0,3,3,3,3,0
567.0,3,3,2,3,0
568.0,3,2,2,2,0
569.0,3,2,2,2,0
570.0,3,2,2,2,1
571.0,3,2,2,2,0
572.0,3,2,2,2,0
573.0,3,2,2,2,1
574.0,3,3,2,3,1
575.0,3,3,2,2,0
576.0,3,2,2,2,1
577.0,3,2,2,2,0
578.0,3,2,2,2,0
579.0,3,3,2,3,0
580.0,3,2,2,2,0
581.0,3,3,3,3,0
582.0,3,3,2,3,0
583.0,3,2,2,3,0
584.0,3,2,2,2,0
585.0,3,3,2,2,1
586.0,3,2,3,3,0
587.0,3,3,3,3,0
588.0,3,2,3,2,0
589.0,3,2,3,3,0
590.0,3,3,3,2,0
591.0,3,2,3,2,1
592.0,3,2,2,3,1
593.0,3,3,3,2,1
594.0,3,2,3,3,0
595.0,3,3,3,2,1
596.0,3,3,3,2,1
597.0,3,3,3,2,1
598.0,3,2,2,2,0
599.0,3,2,3,3,0
600.0,3,3,3,3,0
601.0,3,3,2,2,0
602.0,3,3,2,3,1
603.0,3,3,2,3,1
604.0,3,2,3,3,1
605.0,3,2,3,2,1
606.0,3,3,3,2,0
607.0,3,2,3,2,1
608.0,3,2,2,2,1
609.0,3,3,2,3,1
610.0,3,2,3,3,0
611.0,3,3,3,2,0
612.0,3,3,3,3,1
613.0,3,3,2,2,0
614.0,3,3,2,3,1
615.0,3,3,3,2,0
616.0,3,3,2,3,0
617.0,3,2,3,3,1
618.0,3,2,3,2,1
619.0,3,3,3,3,0
620.0,3,2,2,3,0
621.0,3,2,2,3,0
622.0,3,2,2,3,0
623.0,3,2,3,3,1
624.0,3,2,3,3,1
625.0,3,3,3,2,1
626.0,3,3,3,2,1
627.0,3,3,3,2,0
628.0,3,3,2,3,0
629.0,3,2,3,3,0
630.0,3,3,3,3,0
631.0,3,2,3,2,0
632.0,3,3,3,2,0
633.0,3,3,3,2,0
634.0,3,3,3,2,0
635.0,3,3,3,3,1
636.0,3,2,3,3,0
637.0,3,3,3,2,0
638.0,3,2,3,2,1
639.0,3,2,3,3,1
640.0,3,3,3,3,0
641.0,3,2,3,3,0
642.0,3,3,2,3,0
643.0,3,3,2,2,1
644.0,3,3,3,2,1
645.0,3,3,2,2,0
646.0,3,2,2,3,0
647.0,3,3,3,2,0
648.0,3,3,2,3,0
649.0,3,2,3,3,0
650.0,3,2,2,2,1
651.0,3,3,2,2,1
652.0,3,2,2,3,0
653.0,3,3,2,3,1
654.0,3,2,2,3,1
655.0,3,2,2,3,1
656.0,3,3,2,3,0
657.0,3,3,2,2,0
658.0,3,3,2,2,0
659.0,3,3,2,3,0
660.0,3,3,2,2,0
661.0,3,3,3,3,1
662.0,3,2,3,3,0
663.0,3,3,3,2,0
664.0,3,2,3,2,0
665.0,3,2,3,3,1
666.0,3,3,3,3,0
667.0,3,3,3,2,0
668.0,3,3,3,2,0
669.0,3,3,3,2,0
670.0,3,3,3,3,0
671.0,3,2,3,2,1
672.0,3,2,2,3,0
673.0,3,2,3,3,1
674.0,3,2,2,2,0
675.0,3,2,3,3,0
676.0,3,2,2,2,1
677.0,3,2,2,3,1
678.0,3,2,3,2,0
679.0,3,2,3,2,1
680.0,3,3,2,2,1
681.0,3,3,2,2,1
682.0,3,3,3,2,1
683.0,3,2,2,2,1
684.0,3,3,2,3,0
685.0,3,3,2,3,0
686.0,3,3,2,3,0
687.0,3,3,2,2,1
688.0,3,2,2,3,0
689.0,3,2,2,3,0
690.0,3,3,2,2,0
691.0,3,3,2,2,1
692.0,3,2,2,2,0
693.0,3,3,3,3,0
694.0,3,3,2,3,0
695.0,3,2,2,2,0
696.0,3,2,2,3,0
697.0,3,3,2,3,1
698.0,3,2,2,2,0
699.0,3,2,2,3,0
700.0,3,2,2,2,0
701.0,3,2,3,2,0
702.0,3,2,2,2,0
703.0,3,2,3,3,0
704.0,3,2,2,2,0
705.0,3,3,2,3,1
706.0,3,2,2,2,1
707.0,3,2,2,2,0
708.0,3,3,3,2,0
709.0,3,3,2,2,0
710.0,3,3,3,2,0
711.0,3,3,3,2,1
712.0,3,3,3,2,0
713.0,3,2,3,3,1
714.0,3,3,2,2,0
715.0,3,3,3,3,0
716.0,3,2,2,3,0
717.0,3,3,3,2,1
718.0,3,3,2,3,0
719.0,3,2,3,3,0
720.0,3,3,3,3,0
721.0,3,3,2,2,0
722.0,3,2,2,3,0
723.0,3,3,3,2,0
724.0,3,2,2,2,1
725.0,3,3,3,2,0
726.0,3,3,2,3,1
727.0,3,3,2,3,0
728.0,3,2,3,3,1
729.0,3,2,2,2,0
730.0,3,2,3,2,1
731.0,3,2,3,3,1
732.0,3,2,2,2,0
733.0,3,2,2,2,0
734.0,3,3,2,3,1
735.0,3,2,2,2,0
736.0,3,3,2,3,0
737.0,3,3,2,3,0
738.0,3,2,2,2,0
739.0,3,3,3,3,0
740.0,3,3,3,2,1
741.0,3,3,2,3,1
742.0,3,3,2,3,1
743.0,3,2,2,2,0
744.0,3,3,3,2,1
745.0,3,3,2,3,1
746.0,3,3,2,3,1
